name,HM_B_AB_nCi_2_SS1_X_LGP[1_2_6]_h-s_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[1_2_6]_h_MAS,GM_F_AB_Ci(2.0_-2.0)_2_SS2_H_T_LGP[1-3]_e_MAS,HM_B_AB_nCi_2_SS6_G_LGP[1-3]_e-s_MAS,HM_F_BB_Ci(2.0_-2.0)_2_NS6_H_C_LGP[1]_p_MAS,MN_B_AB_nCi_2_NS1_T_LGP[1]_c-m_MAS,N3_B_AB_nCi_2_SS2_H_n_T_LGP[1]_c-m_MAS,I50_Q_AB_nCi_2_SS1_C_LGP[1]_m_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS3_H_A_LGP[2-4]_h_MAS,MX_B_AB_nCi_2_SS4_H_n_X_LGP[2-4]_p-h_MAS,P3_Q_AB_Ci(2.0_-2.0)_2_MP7_T_LGP[2-4]_p_MAS,P2_B_AB_nCi_2_SS3_H_T_LGP[2-4]_c-m_MAS,P3_B_BB_Ci(2.0_-2.0)_2_SS4_H_T_LGP[4-6]_e-s_MAS,MX_B_AB_nCi_2_NS1_A_LGP[1]_c-m_MAS,MX_B_AB_nCi_2_SS2_H_n_X_LGP[2-4]_h-s_MAS,N2_B_AB_nCi_2_NS4_T_LGP[4-6]_c-m_MAS,Q2_B_AB_nCi_2_SS8_P_LGP[4-6]_m-s_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[2-4]_h_MAS,RA_B_AB_nCi_2_MP5_P_LGP[4-6]_e-s_MAS,I50_F_AB_nCi_2_NS1_n_P_LGP[1_2_6]_m_MAS,RA_Q_AB_nCi_2_NS5_A_LGP[4-6]_h_MAS,N3_B_AB_nCi_2_NS1_T_KA_c-m_MAS,HM_B_AB_nCi_2_SS1_X_KA_h-s_MAS,RA_B_AB_nCi_2_SS4_X_SRW_c-p_MAS,P2_Q_BB_Ci(2.0_-2.0)_2_NS4_H_A_KA_p_MAS,K_B_AB_nCi_2_NS3_T_NSRW_h-s_MAS,K_B_AB_nCi_2_SS8_T_NSRW_e-h_MAS,N3_Q_AB_nCi_2_NS8_n_T_KA_c_MAS,HM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,K_Q_AB_Ci(2.0_-2.0)_2_NS3_H_n_T_KA_h_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_m-p_MAS,HM_B_BB_nCi_2_NS0_H_A_SRW_m-e_MAS,RA_B_AB_nCi_2_SS4_A_SRW_c-p_MAS,HM_B_AB_nCi_2_SS4_M_SRW_p-h_MAS,MX_F_BB_nCi_2_NS1_H_X_NSRW_m_MAS,RA_B_AB_nCi_2_NS8_H_n_D_SRW_m-e_MAS,RA_Q_AB_nCi_2_NS8_H_n_D_SRW_e_MAS,HM_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_SRW_e_MAS,P3_F_BB_nCi_2_NS4_H_A_KA_h_MAS,SD_Q_AB_nCi_2_MP6_P_NSRW_m_MAS,I50_B_AB_nCi_2_SS1_P_KA_h-s_MAS,RA_Q_AB_nCi_2_NS7_H_n_D_SRW_m_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,MX_F_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,MX_F_AB_nCi_2_SS1_n_X_NSRW_e_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_m-e_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,HM_F_BB_nCi_2_NS4_H_A_SRW_e_MAS,MN_B_AB_nCi_2_NS1_A_LGP[1]_c-m_MAS,MN_B_AB_nCi_2_NS1_A_NSRW_c-m_MAS,MN_B_AB_nCi_2_NS1_A_KA_c-m_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1_2_6]_p-h_MAS,RA_Q_AB_nCi_2_NS7_H_n_D_SRW_e_MAS,MN_B_AB_nCi_2_NS1_T_NSRW_c-m_MAS,MX_B_AB_nCi_2_NS3_D_LGP[1]_m-e_MAS,RA_Q_AB_nCi_2_NS8_H_n_D_SRW_m_MAS,MX_Q_AB_nCi_2_NS3_D_LGP[1]_e_MAS,HM_Q_BB_nCi_2_SS2_H_A_SRW_e_MAS,HM_Q_BB_Ci(2.0_-2.0)_2_SS2_H_A_SRW_e_MAS,RA_B_AB_nCi_2_NS7_H_n_D_SRW_m-e_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[1-3]_p-h_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[1_2_6]_p-h_MAS,RA_Q_AB_nCi_2_NS5_H_n_D_SRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_NSRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,HM_B_BB_nCi_2_SS2_H_A_SRW_e-p_MAS,HM_B_BB_Ci(2.0_-2.0)_2_SS2_H_A_SRW_e-p_MAS,GM_F_BB_nCi_2_NS5_H_A_SRW_h_MAS,GM_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_SRW_h_MAS,HM_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_SRW_m_MAS,HM_F_BB_nCi_2_NS5_H_A_SRW_m_MAS,HM_F_BB_nCi_2_NS5_H_A_SRW_e_MAS,MN_B_AB_nCi_2_NS1_X_KA_c-m_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1-3]_h_MAS,MX_B_AB_nCi_2_SS2_H_n_X_LGP[2-4]_p-h_MAS,MN_B_AB_nCi_2_NS1_n_X_LGP[1-3]_c-m_MAS,MN_B_AB_nCi_2_NS1_n_X_NSRW_c-m_MAS,MN_B_AB_nCi_2_NS1_X_LGP[1]_c-m_MAS,MN_B_AB_nCi_2_NS1_X_NSRW_c-m_MAS,Q2_B_AB_nCi_2_NS7_P_SRW_e-h_MAS,RA_B_BB_nCi_2_SS3_H_D_SRW_p-h_MAS,I50_B_AB_nCi_2_MP3_P_KA_m-e_MAS,I50_F_AB_nCi_2_MP1_P_KA_p_MAS,Q3_F_BB_nCi_2_SS8_H_P_SRW_s_MAS,RA_B_AB_nCi_2_SS3_n_C_SRW_p-s_MAS,I50_B_BB_nCi_2_NS7_H_P_SRW_e-p_MAS,Q3_Q_BB_nCi_2_SS6_H_P_SRW_e_MAS,V_F_AB_nCi_2_SS4_A_NSRW_e_MAS,MX_F_AB_nCi_2_NS2_H_n_X_LGP[2-4]_e_MAS,MX_F_AB_nCi_2_NS2_D_KA_e_MAS,RA_B_AB_nCi_2_SS3_A_SRW_m-e_MAS,MX_B_AB_nCi_2_NS2_D_KA_m-e_MAS,MX_Q_AB_nCi_2_NS2_D_KA_e_MAS,HM_B_BB_Ci(2.0_-2.0)_2_SS5_A_KA_e-s_MAS,MX_Q_AB_nCi_2_NS2_H_n_X_LGP[2-4]_e_MAS,RA_F_AB_nCi_2_SS3_A_SRW_m_MAS,V_Q_AB_nCi_2_SS4_A_LGP[2-4]_e_MAS,MX_F_AB_nCi_2_SS2_H_n_X_LGP[2-4]_s_MAS,MX_B_AB_nCi_2_SS2_H_n_X_LGP[2-4]_e-s_MAS,P2_F_AB_Ci(2.0_-2.0)_2_NS2_A_KA_e_MAS,MN_F_AB_nCi_2_SS6_P_KA_e_MAS,SD_B_AB_nCi_2_MP5_T_LGP[2-4]_e-p_MAS,MX_F_AB_nCi_2_SS1_A_NSRW_e_MAS,MX_F_AB_nCi_2_SS1_A_LGP[1]_e_MAS,SD_B_AB_nCi_2_MP7_T_LGP[2-4]_e-p_MAS,RA_B_AB_nCi_2_NS7_A_LGP[4-6]_e-h_MAS,MX_Q_AB_nCi_2_SS1_A_LGP[1]_e_MAS,RA_B_AB_nCi_2_NS2_n_C_SRW_p-s_MAS,RA_B_AB_nCi_2_NS5_A_LGP[4-6]_e-h_MAS,RA_F_AB_nCi_2_SS1_A_NSRW_e_MAS,MX_F_AB_nCi_2_SS2_H_n_X_LGP[2-4]_e_MAS,MX_F_AB_nCi_2_SS2_H_n_X_LGP[2-4]_p_MAS,P3_B_AB_Ci(2.0_-2.0)_2_NS3_C_NSRW_m-s_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_LGP[1_2_6]_h_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_c-m_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_e-c_MAS,HM_F_BB_nCi_2_SS5_H_A_SRW_p_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_KA_h_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1_2_6]_h_MAS,GM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,GM_F_BB_nCi_2_SS5_H_A_SRW_p_MAS,HM_F_BB_nCi_2_SS7_H_A_SRW_p_MAS,HM_F_BB_Ci(2.0_-2.0)_2_SS7_H_A_SRW_p_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[2-4]_p-h_MAS,classreal,Class
001 Kojic acid,0.36828176,3.69167889,1.495738243,0,464.7635457,-0.608660305,0.097132837,0.541666667,9.087278881,2.902020172,1.538899579,0.047164983,0.09400602,0.299350015,0.30986958,5.920781531,0,38.00226923,0,0,22.49972183,1.204270291,0.36828176,0.380605313,963.0860629,-0.360461843,0.179038613,184.8583891,0.260824118,1.999844281,2892.058643,2.336784237,0.380605313,0,1.416045989,20300.01606,52422.848,28.85491879,66.04860878,0,0,2384.886384,1534.24,594.1130218,5277.7856,0.820416667,0.820416667,2043.748795,791.4131899,24.51932048,-0.304330152,-0.304330152,-0.304330152,198.6661297,15904.3584,-0.608660305,10.32,7860.897827,26.316,1.991861721,1.991861721,6158.740763,16.74989541,16.74989541,1656.704,2.37575,2.37575,3.505775955,3.505775955,20.95567538,20.95567538,6.508137568,6.508137568,28.85491879,-0.304330152,53.35207573,1.68539564,-0.304330152,-0.304330152,-0.304330152,-0.304330152,0,0.425420241,0,0,0,0.929808246,0,0,0.095128415,7.475,7.265,0,9.677648214,24.9916,0.523079672,25.714,0,0.939804402,0.240122532,0.674712157,8.495785279,0,0.257366404,1.139166667,1.139166667,0.290480426,468.5135758,3.47225,39.74930252,32.87364786,1.139166667,0.774401442,1.656953471,19.69549713,165.143909,211.0978575,545.140007,0.260824118,66.04860878,46.18746574,0.29336111,0.29336111,0.275581334,0.275581334,13.87553165,active,1
002 Arbutin,0.393888616,3.880628357,1.595226377,0,1064.172167,-0.650773308,0.127145835,0.916201158,12.08515488,2.750452932,1.684313678,0.045942676,0.150047314,0.364271953,0.429038187,3.987208124,0.048453433,62.53660062,0.004925883,2,13.78498782,1.330795131,0.393888616,0.449178687,2777.268923,-1.132898549,-0.453635799,241.8414054,0.211221459,2.196891004,3033.41798,2.385724845,0.449178687,0,2.249051969,22233.78734,57416.6272,39.31853768,100.7852859,0.039774088,0.967384159,2695.418465,1658.08,642.068333,5703.7952,0.892083333,0.892083333,2208.715065,855.2940751,29.21839662,-0.325386654,-0.325386654,-0.325386654,346.9676234,17975.2384,-0.650773308,6.88,8609.72376,17.544,1.847235109,1.847235109,6960.660134,20.48423676,20.48423676,1834.208,2.5585,2.5585,3.610217974,3.610217974,28.48179921,28.48179921,8.206122402,8.206122402,39.31853768,-0.325386654,85.92777548,1.746211926,-0.325386654,-0.325386654,-0.325386654,-0.325386654,0,0.288753219,0.209180328,0.407899457,0.053134484,0.855686993,2342.925599,0.196791693,0.172101945,9.465,7.265,0.416581491,9.677648214,24.9916,0.470574581,32.5596,0.121099271,1.843046078,0.426081528,1.183765067,6.097034547,0.013726274,0.284770178,1.210833333,1.210833333,0.3834009,664.30429,3.655,24.3870793,46.37146954,1.210833333,1.051588942,2.389202611,9.748246088,277.3549487,231.3993828,597.5667526,0.211221459,100.7852859,67.22415577,0.253835212,0.253835212,0.197239028,0.197239028,13.39934313,active,1
003 L-mimosine,0.363399388,5.22672975,1.496391862,0,459.9192967,-0.677702614,0.10628427,0.541666667,11.37016283,3.692906575,1.467522852,0.041492646,0.138570858,0.639233312,0.791212559,4.73882171,0,54.98144918,0,0,8.673416067,1.746468761,0.363399388,0.454775588,2209.741582,-1.206496967,1.021802006,255.2178491,0.244226523,1.631844735,3119.441478,1.570088983,0.454775588,0,1.91601196,25088.6203,64788.96,31.40179879,102.4372546,0,0,2826.729174,1664.96,644.7325169,5727.4624,1.364791667,1.364791667,2217.879858,858.8430132,26.40592969,-0.338851307,-0.338851307,-0.338851307,349.2719983,18850.9248,-0.677702614,10.32,9715.21797,26.316,1.323309512,1.323309512,7299.757467,24.33889005,24.33889005,1751.3728,3.7145,3.7145,2.983961548,2.983961548,24.36590176,24.36590176,6.740833128,6.740833128,31.40179879,-0.338851307,89.32027763,3.084738018,-0.338851307,-0.338851307,-0.338851307,-0.338851307,0,1.004224743,0,0,0,1.00124803,0,0,0.235125473,10.775,8.155,0,10.86321007,28.0532,0.593605036,32.756,0,2.561682508,0.581599404,1.429938576,10.74193463,0,0.267486255,1.92,1.92,0.327100082,258.3392641,6.03075,42.33415569,17.81650097,1.92,1.367103365,4.061981558,18.3536408,297.5094576,212.9402423,549.8977894,0.244226523,102.4372546,76.31235886,0.283819016,0.283819016,0.215128697,0.215128697,14.02983437,active,1
005 Tropolone,0.555150613,2.709431379,1.549592135,0,242.876531,-0.514483564,0.102843222,0.8125,3.936733406,2.818056861,2.027529522,0.035475238,0.11157368,0.647787058,0.216419499,1.767992973,0.04384375,14.94810477,0.002876383,2,16.22840232,1.62569449,0.555150613,0.372412143,322.3026294,0.343707631,5.247722486,162.266309,0.218293844,4.364320836,3048.838906,2.416085724,0.372412143,0,1.91601196,25391.05846,65569.9776,15.81322952,27.63570678,0.036561644,0.972112466,2839.150457,1671.84,647.3967009,5751.1296,1.17625,1.17625,2227.044651,862.3919513,17.97871972,-0.257241782,-0.257241782,-0.257241782,76.92575362,18933.76,-0.514483564,10.32,9832.332926,26.316,2.525484131,2.525484131,7331.834242,9.715566862,9.715566862,1834.208,3.47225,3.47225,3.792703963,3.792703963,12.80769316,12.80769316,3.35433181,3.35433181,15.81322952,-0.257241782,21.03876017,1.436442919,-0.257241782,-0.257241782,-0.257241782,-0.257241782,1584.057797,0.332155147,0.212560241,0.610051471,0.058052435,0.830561548,3190.83293,0.578364377,0.245961194,9.43,8.155,0.416581491,10.86321007,28.0532,0.150424305,32.4392,0.121099271,2.671454952,0.149770996,0.494180674,10.42319632,0.129463091,0.246907629,1.92,1.92,0.287504543,645.4997673,6.03075,27.15980129,38.77828554,1.92,0.691610577,0.939838585,11.47350089,67.16961312,231.4007042,597.5701649,0.218293844,27.63570678,20.30989031,0.251084945,0.251084945,0.227152109,0.227152109,7.747782454,active,1
006 p-coumaric acid,0.431157476,4.338043413,1.464189292,0,416.8393148,-0.578583726,0.123265463,0.666744251,12.26186281,3.14763959,1.47501919,0.061231284,0.174683661,0.646296505,0.353363692,3.319776174,0,60.23976516,0,0,18.87144816,1.811333618,0.431157476,0.342127478,1877.390826,-1.222199374,-0.913011722,83.31824274,0.184532716,4.001745387,3071.190504,2.390275837,0.342127478,0,2.082091977,20464.98233,52848.8576,26.11957143,102.7055587,0,0,2395.533198,1534.24,594.1130218,5277.7856,1.123125,1.123125,2043.748795,791.4131899,23.69009206,-0.289291863,-0.289291863,-0.289291863,319.4451499,15975.36,-0.578583726,10.32,7924.778713,26.316,2.056351243,2.056351243,6186.235142,19.34612063,19.34612063,1656.704,3.2895,3.2895,3.574516151,3.574516151,21.7358337,21.7358337,5.537858519,5.537858519,26.11957143,-0.289291863,86.76118458,2.056626011,-0.289291863,-0.289291863,-0.289291863,-0.289291863,0,0.303345741,0,0,0,0.984633951,0,0,0.202161602,11.805,7.265,0,9.677648214,24.9916,0.822624179,40.6092,0,2.202707134,0.278276236,0.838347558,9.750426059,0,0.292171366,1.60125,1.60125,0.348506809,512.5597698,4.93425,44.14559982,36.22484789,0.995833333,0.972560096,1.857809908,19.12680301,290.8648478,212.4974238,548.7542529,0.184532716,102.7055587,71.93609999,0.219202424,0.219202424,0.172681351,0.172681351,12.48123035,active,1
007 Ascorbic acid,0.499499524,1.833809594,1.534391864,0,668.6504174,-0.190571716,0.116108613,0,3.96580516,1.371456742,1.689994219,0.037515347,0.151855939,0.088538303,0.082816328,1.785045417,0.059033393,17.31932601,0.004969373,2,26.95892872,0.907696535,0.499499524,0.08946019,498.0932722,-0.777432665,-0.276422271,38.67592977,0.173091816,-0.074936599,3448.782268,2.490024874,0.08946019,0,1.249965972,22256.69932,57475.7952,13.90186736,28.82183838,0.017828978,0.495666472,2695.418465,1658.08,642.068333,5703.7952,0.4275,0.4275,2208.715065,855.2940751,17.65029445,-0.095285858,-0.095285858,-0.095285858,76.80145358,17975.2384,-0.190571716,6.88,8618.596106,17.544,2.721042253,2.721042253,6960.660134,7.659470851,7.659470851,1834.208,1.27925,1.27925,4.711849275,4.711849275,10.89536611,10.89536611,2.822134733,2.822134733,13.90186736,-0.095285858,20.60662691,0.518743851,-0.095285858,-0.095285858,-0.095285858,-0.095285858,1598.172833,0.252106608,0.114073741,0.348939002,0.059973706,0.209804391,1091.835949,0.546925638,0.085653787,3.44,7.265,0.416581491,9.677648214,24.9916,0.190100076,8.772,0.121099271,0.558063142,0.078919979,0.243473325,4.29663739,0.722743953,0.10850163,0.8525,0.8525,0.134301841,785.758223,2.74125,35.31424614,49.80301751,0.8525,0.230384615,0.511129324,11.00664696,64.36143829,231.3422176,597.4191289,0.173091816,28.82183838,17.88142523,0.201408355,0.201408355,0.188885714,0.188885714,6.452393786,active,1
009 Oxyresveratrol,0.587775763,2.782965917,1.605061677,0,160.1043538,-0.514489747,0.090306854,0.416278743,3.603481895,2.745587416,2.050223358,0.027776968,0.118404031,0.647411846,0.213459209,1.24986859,0.04231635,13.1613696,0.007399464,1.5,23.19644777,1.603332996,0.587775763,0.343955311,272.6815555,1.807703663,0.369419552,106.9073849,0.228511694,4.783974547,2882.755937,2.369185112,0.343955311,0,1.91601196,25743.90298,66481.1648,17.40892711,25.12326719,0.037526324,0.874620048,2883.512183,1678.72,650.0608848,5774.7968,1.17625,1.17625,2236.209444,865.9408893,18.20454534,-0.257244873,-0.257244873,-0.257244873,67.50683878,19229.6,-0.514489747,10.32,9968.967042,26.316,2.410014198,2.410014198,7446.394152,10.08156197,10.08156197,1763.2064,3.47225,3.47225,3.611161378,3.611161378,13.07127664,13.07127664,3.836677975,3.836677975,17.40892711,-0.257244873,20.10770302,1.434441664,-0.257244873,-0.257244873,-0.257244873,-0.257244873,1562.893071,0.308708395,0.237094862,0.596105769,0.055767198,0.942321666,1368.32418,0.625671651,0.303861809,9.43,8.155,0,10.86321007,28.0532,0.105732118,32.4392,0,3.092246771,0.145435628,0.48350662,15.26265295,0.496773654,0.16700055,1.92,1.92,0.1698913,769.6975146,6.03075,28.7836436,41.02592256,1.92,0.666802885,0.961220027,5.877862894,57.27970642,213.0151118,550.0911328,0.228511694,25.12326719,18.4490676,0.247227162,0.247227162,0.201601836,0.201601836,7.504136481,active,1
010 Quercetin,0.485523067,4.313071451,1.531310014,0,0,-0.297193199,0.079253636,0,5.626504289,2.40263729,2.081536348,0.034086442,0.131468045,0.238736142,0.365135347,0.559563407,0.054038738,26.37294501,0.006590582,2,15.6787993,0.350837829,0.485523067,0.341269003,625.5351716,2.240112939,-0.578248041,150.9620451,0.182975652,4.202517785,2931.336832,1.910656354,0.341269003,0,2.74827391,23067.78348,59570.3424,13.84332438,44.79357524,0.044849146,1.002114616,2738.005722,1664.96,644.7325169,5727.4624,2.38,2.38,2217.879858,858.8430132,17.14323402,-0.297193199,-0.297193199,-0.297193199,152.1656556,18259.2448,-0.297193199,6.074339416,8932.677125,15.6864,1.731762466,1.731762466,7070.637647,18.1721335,18.1721335,1834.208,7.5392,7.5392,3.217605051,3.217605051,10.72736444,10.72736444,3.929580772,3.929580772,13.84332438,-0.297193199,37.22312683,1.767342443,-0.297193199,-0.297193199,-0.297193199,-0.297193199,1525.975476,0.34725568,0.286896238,0.688589286,0.056089505,0,1374.13173,0.614364332,0.309371305,10.53,6.235,0.154138829,8.305593477,21.4484,0.231831087,32.0112,0.050703562,2.478301395,0.246841616,0.702718856,13.47315784,0.292460065,0.229978716,3.68,3.68,0.269012187,492.8481942,11.7952,0,27.56987033,3.68,0.825985577,1.566631366,0,106.3549985,184.2103605,475.7056202,0.182975652,44.79357524,35.96430886,0.233347648,0.233347648,0.184878312,0.184878312,13.66576492,active,1
011 Benzoic acid,0.361847728,2.961532886,1.55958339,0,1280.42102,-0.692714417,0.12672913,0.603701158,9.428707162,2.467510811,2.346378045,0.038415884,0.175957987,0.264756303,0.407501342,9.309281098,0.075865334,47.72328284,0.005920066,0.5,20.46874292,1.302593854,0.361847728,0.493153965,2574.730467,-1.387248732,0.525268635,568.8336356,0.221203918,5.342577042,3780.500853,2.354899837,0.493153965,0.955903375,1.58300598,22247.53453,57452.128,40.24816494,75.97785876,0.022412054,0.477764394,2695.418465,1658.08,642.068333,5703.7952,0.892083333,0.892083333,2208.715065,855.2940751,28.11677263,-0.346357208,-0.346357208,-0.346357208,282.9228851,17975.2384,-0.692714417,6.88,8615.047168,17.544,1.742303599,1.742303599,6960.660134,16.34866378,16.34866378,1834.208,2.5585,2.5585,3.638765175,3.638765175,22.23015113,22.23015113,8.826308205,8.826308205,40.24816494,-0.346357208,65.87468917,1.545947503,-0.346357208,-0.346357208,-0.346357208,-0.346357208,0,0.258120345,0.028333333,0.071324653,0,1.591328089,0,0,0.148198953,7.3,7.265,0.381866367,9.677648214,24.9916,0.397613367,25.112,0.111007665,1.347946547,0.443657383,1.181765402,7.939618461,0.016787914,0.308697257,1.210833333,1.210833333,0.385056909,1232.437601,3.655,65.07387006,69.69568578,1.210833333,0.930182692,2.442870402,17.67309307,215.0716721,231.2651307,597.2200594,0.221203918,75.97785876,51.74015473,0.259269469,0.259269469,0.195210828,0.195210828,11.26563014,active,1
013 Cupferron,0.584774071,3.374437891,1.60154089,0,242.4253575,-0.514483564,0.089083341,0.8125,4.093061831,2.833576507,2.026535172,0.027726979,0.083446106,0.647787058,0.216432677,1.704646733,0.04349742,14.16801397,0.004393271,2,14.8425406,1.603170737,0.584774071,0.371878367,285.6984713,1.472136344,3.800611729,163.1050756,0.266929804,5.976023454,2769.901958,2.369185112,0.371878367,0,1.91601196,25391.05846,65569.9776,17.40892711,27.87674768,0.0374666,1.0013354,2839.150457,1671.84,647.3967009,5751.1296,1.17625,1.17625,2227.044651,862.3919513,18.20454534,-0.257241782,-0.257241782,-0.257241782,79.16858822,18933.76,-0.514483564,10.32,9832.332926,26.316,2.410014198,2.410014198,7331.834242,11.73470643,11.73470643,1751.3728,3.47225,3.47225,3.46443474,3.46443474,13.42537824,13.42537824,3.836677975,3.836677975,17.40892711,-0.257241782,22.84305008,1.444530801,-0.257241782,-0.257241782,-0.257241782,-0.257241782,1533.50811,0.333748491,0.242459016,0.630023438,0.055675135,0.822720134,3377.388376,0.599321131,0.261613143,9.43,8.155,0,10.86321007,28.0532,0.045147298,32.4392,0,2.917571408,0.148759812,0.490852935,15.26265295,0.130980555,0.242090265,1.92,1.92,0.276792644,514.3232106,6.03075,26.58170607,25.81877911,1.92,0.691610577,0.938725248,11.29528924,67.33606041,212.4374579,548.5993968,0.266929804,27.87674768,22.41814743,0.292732419,0.292732419,0.258442508,0.258442508,9.133733378,active,1
