HM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,P3_F_BB_nCi_2_NS4_H_A_KA_h_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,MX_F_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,MX_F_AB_nCi_2_SS1_n_X_NSRW_e_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_m-e_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,HM_F_BB_nCi_2_NS4_H_A_SRW_e_MAS,MN_B_AB_nCi_2_NS1_T_NSRW_c-m_MAS,RA_Q_AB_nCi_2_NS5_H_n_D_SRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_NSRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,HM_F_BB_nCi_2_NS5_H_A_SRW_e_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1-3]_h_MAS,SD_B_AB_nCi_2_MP5_T_LGP[2-4]_e-p_MAS,MX_F_AB_nCi_2_SS1_A_LGP[1]_e_MAS,SD_B_AB_nCi_2_MP7_T_LGP[2-4]_e-p_MAS,MX_Q_AB_nCi_2_SS1_A_LGP[1]_e_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_LGP[1_2_6]_h_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_KA_h_MAS,GM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,classreal
0.260824118,66.04860878,1534.24,594.1130218,5277.7856,0.820416667,0.820416667,2043.748795,791.4131899,24.51932048,-0.608660305,1656.704,2.37575,2.37575,28.85491879,53.35207573,0.257366404,1.139166667,0.290480426,3.47225,165.143909,66.04860878,0.29336111,active
0.211221459,100.7852859,1658.08,642.068333,5703.7952,0.892083333,0.892083333,2208.715065,855.2940751,29.21839662,-0.650773308,1834.208,2.5585,2.5585,39.31853768,85.92777548,0.284770178,1.210833333,0.3834009,3.655,277.3549487,100.7852859,0.253835212,active
0.244226523,102.4372546,1664.96,644.7325169,5727.4624,1.364791667,1.364791667,2217.879858,858.8430132,26.40592969,-0.677702614,1751.3728,3.7145,3.7145,31.40179879,89.32027763,0.267486255,1.92,0.327100082,6.03075,297.5094576,102.4372546,0.283819016,active
0.218293844,27.63570678,1671.84,647.3967009,5751.1296,1.17625,1.17625,2227.044651,862.3919513,17.97871972,-0.514483564,1834.208,3.47225,3.47225,15.81322952,21.03876017,0.246907629,1.92,0.287504543,6.03075,67.16961312,27.63570678,0.251084945,active
0.184532716,102.7055587,1534.24,594.1130218,5277.7856,1.123125,1.123125,2043.748795,791.4131899,23.69009206,-0.578583726,1656.704,3.2895,3.2895,26.11957143,86.76118458,0.292171366,1.60125,0.348506809,4.93425,290.8648478,102.7055587,0.219202424,active
0.173091816,28.82183838,1658.08,642.068333,5703.7952,0.4275,0.4275,2208.715065,855.2940751,17.65029445,-0.190571716,1834.208,1.27925,1.27925,13.90186736,20.60662691,0.10850163,0.8525,0.134301841,2.74125,64.36143829,28.82183838,0.201408355,active
0.228511694,25.12326719,1678.72,650.0608848,5774.7968,1.17625,1.17625,2236.209444,865.9408893,18.20454534,-0.514489747,1763.2064,3.47225,3.47225,17.40892711,20.10770302,0.16700055,1.92,0.1698913,6.03075,57.27970642,25.12326719,0.247227162,active
0.182975652,44.79357524,1664.96,644.7325169,5727.4624,2.38,2.38,2217.879858,858.8430132,17.14323402,-0.297193199,1834.208,7.5392,7.5392,13.84332438,37.22312683,0.229978716,3.68,0.269012187,11.7952,106.3549985,44.79357524,0.233347648,active
0.221203918,75.97785876,1658.08,642.068333,5703.7952,0.892083333,0.892083333,2208.715065,855.2940751,28.11677263,-0.692714417,1834.208,2.5585,2.5585,40.24816494,65.87468917,0.308697257,1.210833333,0.385056909,3.655,215.0716721,75.97785876,0.259269469,active
0.266929804,27.87674768,1671.84,647.3967009,5751.1296,1.17625,1.17625,2227.044651,862.3919513,18.20454534,-0.514483564,1751.3728,3.47225,3.47225,17.40892711,22.84305008,0.242090265,1.92,0.276792644,6.03075,67.33606041,27.87674768,0.292732419,active
